,restaurant,type,price,review,url
10,The Source,"Chinese, Pan-Asian",$$$$,"The turnaround-of-the-year award goes to Wolfgang Puck’s DC satellite, which got both a renovation and a serious jolt of energy in the kitchen, still overseen by longtime deputy Scott Drewno. The menu is now almost exclusively Asian fusion, and you’ll hardly miss the Kobe sliders. The duck for two is transcendent, with lacquered skin and tender meat served with bao buns and a bevy of condiments. To start, get dumplings in any and all forms—steamed and filled with shrimp and scallop, fried and stuffed with pork and chive. Even better, order them on a Monday, when they’re discounted to five bucks a plate.",https://www.washingtonian.com/food/restaurantreviews/100-very-best-restaurant-2016-the-source
11,Masseria,Italian,$$$$,"Hiding along a block that fringes Union Market is one of the most seductive restaurant spaces around—with a pool-blue patio in front and a warmly lit raw-brick dining room inside. You can choose among three-, four-, and five-course tasting menus, and whatever you opt for, make sure pasta plays a role. Chef/owner Nick Stefanelli came up in some of the area’s top Italian kitchens (the late Laboratorio del Galileo and Maestro), and his sophisticated compositions—linguine with salty, garlicky XO sauce, penne with cauliflower and raisins—are among the city’s best. The cocktails, including a fuchsia Negroni tinted with beet juice, are just as dreamy.",https://www.washingtonian.com/food/restaurantreviews/100-very-best-restaurant-2016-masseria
12,Garrison,American,$$$,"You might recognize the name Rob Weland from his stints at Poste and at Cork. Or not. Weland keeps a low profile, choosing to spend his time in the kitchen, cooking—quaint thought! The great benefit of this single-minded devotion is that every dish is carefully wrought, with none of the sloppiness that can creep into a kitchen with an absentee chef. Weland works closely with a local farm, and the bounties are prominently featured (more in spring and summer, when the chef showcased a stunning heirloom-tomato salad). Pastas remain his signature. There are only two, but both are gorgeous testament to the art. Beware the mind/body split that results after just one taste: The body wants to devour the entire plate; the mind wants you to savor each remarkable bite.",https://www.washingtonian.com/food/restaurantreviews/100-very-best-restaurant-2016-garrison
13,Vin 909 Winecafe,"Italian, Pizza",$$,"If you came only for the pizzas, you’d leave happy. Unlike most boutique pies in the area, these are cooked in a brick oven and topped with a hand more indulgent than judicious. With crusts this good, you can feel confident in trying a combination that lesser places could never pull off—say, foie gras and truffles. Small plates are just as worthy: Chef Justin Moore has a keen imagination and a refined palate, and the selections on this menu-within-the-menu—a soft mound of mozzarella with gelatin-molded pearls of balsamic vinegar, a plate of gorgeously fresh steamed clams—are rendered with care. Add in the Craftsman-bungalow setting and the nightly party the dining room and patio become, and you have not just a wonderful culinary destination but a getaway and respite.",https://www.washingtonian.com/food/restaurantreviews/100-very-best-restaurant-2016-vin-909-winecafe/
14,Proof,American,$$$,"Steadiness is not one of the sexier virtues in the restaurant world. But settle into this dark-lit lair and you’ll appreciate what so many flashy newcomers lack: a maturity and poise that are evident at the outset, with a warm welcome and expert cocktails. It’s a wine bar, but without the preciousness of many others in the genre—a testament to the haimish sensibility of late owner Mark Kuller as well as the fact that it sits steps away from the Verizon Center. Haidar Karoum’s menu suits a range of needs and tastes. You can graze on cheeses and charcuterie, colorful salads, and flatbreads, or delve into a tasting menu of plates that blend rusticity with refinement. The wine list is one of the best in the area, full of crowd-pleasers and interesting finds. Jaded palates might not be tempted—nearly ten years on, the lineup no longer surprises—but then, you don’t come to Proof for the shock of the new; you come for the shock of the familiar done right.",https://www.washingtonian.com/food/restaurantreviews/100-very-best-restaurant-2016-proof
15,Maketto,"Cambodian, Taiwanese",$$,"Erik Bruner-Yang’s indoor/outdoor space functions as a skate-culture-obsessed shop (hawking $184 hoodies and Brooklyn-made graffiti pens), a coffee bar, and a restaurant, where the tangy, spicy flavors of Cambodia and Taiwan are on full blast. It’s hard to turn down the insta-classics that have always been on the menu—fried chicken with fish-sauce caramel, pork buns—but the menu keeps evolving. Our latest obsession? Gruyère dumplings over zesty braised beef that has the texture of a great chili. For dessert (or breakfast), be sure to try the homey wonders from pastry chef Erica Skolnik.",https://www.washingtonian.com/food/restaurantreviews/100-very-best-restaurant-2016-maketto
16,Blue Duck Tavern,American,$$$$,"How does a decade-old farm-to-table restaurant still feel exciting when tavern-chic concepts abound and bone marrow feels about as edgy as a kale Caesar? It recruits fresh talent, as this Park Hyatt dining room did last year. Chef Franck Loquet and pastry chef David Collier have taken on the kitchen with vigor. The marrow—on the menu since day one—now arrives crusted with everything-bagel seasoning that complements the unctuous center, while Collier’s “Nutella breakfast” dessert transports us to a dreamy weekend morning. Talent isn’t limited to the kitchen—try the exquisite blends from the tea cellar.",https://www.washingtonian.com/food/restaurantreviews/100-very-best-restaurant-2016-blue-duck-tavern
17,Bistro Bis,French,$$$$,"Three decades ago, the French ruled the city’s restaurant scene. Today the Gallic presence is mostly confined to casual restaurants. This veteran from one of Washington’s most respected chefs, Jeff Buben, is among the few remaining bastions of the destinations of yore. It might call itself a bistro, but its intention is to woo you with the kind of elegantly sumptuous cooking that inspired countless cookbook writers to pen love letters to French cuisine. There’s nothing innovative about this approach, but to take a first, swooning bite of snails in garlicky butter, or fried sweetbreads so light they might as well be dumplings, is to feel gratitude for rear-guard stubbornness.",https://www.washingtonian.com/food/restaurantreviews/100-very-best-restaurant-2016-bistro-bis
18,Central Michel Richard,"American, French",$$$,"Michel Richard is one of the most important chefs ever to run a kitchen in this city—or, for that matter, this country. But scan the menu at this warm-toned roost and what jumps out? The burgers, fries, and fried chicken—yes, the junk food among the honor roll of bistro classics. If you have a discerning eye, you’ll understand the process that went into them, but the marvelous thing about Richard’s cooking—as rendered by protégé David Deshaies—is that you don’t need to: These are complex dishes that taste simple. Dessert is a must, whether exquisite tarts or ice creams of liqueur-like intensity.",https://www.washingtonian.com/food/restaurantreviews/100-very-best-restaurant-2016-central-michel-richard
19,Marcel's,French,$$$$,"At this hushed, dove-gray dining room—which last year underwent a $350,000 facelift—the solemn-toned servers wear black suits, not Chucks, and the maître d’ and team of captains make sure everything runs smoothly. It might feel like food church to some diners, but not to those who mourn a time when patrons still dressed for dinner. Chef Robert Wiedmaier’s menu honors canonical French preparations—a stunning veal-and-pheasant sausage is his signature—yet stays attuned to the culinary times: Mole powder adds depth to elk loin, while ponzu gel enlivens perfect slices of yellowtail crudo.",https://www.washingtonian.com/food/restaurantreviews/100-very-best-restaurant-2016-marcels
20,Rose's Luxury,American,$$$,"The line still snakes down the block at Aaron Silverman’s no-reservations dining room, though the reward doesn’t quite inspire the sheer joy it used to. A once-airtight menu of knockout dishes now yields the occasional dud (a ho-hum Peruvian chicken). Still, to put things in perspective, we’re comparing what was a near-perfect dining experience with one that’s currently very, very good. We’ll continue to brave an hour-plus wait for, say, a meltingly tender goat confit. And, of course, for the warm welcome. Silverman’s rowhouse exudes hospitable charm, and this is still one of DC’s most happening parties.",https://www.washingtonian.com/food/restaurantreviews/100-very-best-restaurant-2016-roses-luxury
21,Minibar,"American, Modern",$$$$,"José Andrés’s dining experience is both the most expensive dinner in DC ($275 a pop just for food) and probably the coolest science class you’ve ever been to. At a bar-for-12 fronting a bustling kitchen, you’ll not only eat your way through a set menu of 25 to 30 surrealist courses; you’ll learn how each is made—how, say, a corkscrew, a syringe, gelatin, and liquid nitrogen can create a knockout fusilli with pesto. Many dishes in the lineup these days are more about brow-raising wizardry than deliciousness—get ready for a lot of gelatinous textures—and the whole production feels more rushed than it has in years past. Still, for the food-obsessed, there’s no better show in town.",https://www.washingtonian.com/food/restaurantreviews/100-very-best-restaurant-2016-minibar
22,Fiola,Italian,$$$$,"Fabio Trabocchi’s Penn Quarter flagship may not grab the same attention these days as its seafood-minded Georgetown sister, Fiola Mare (number one on our list this year). Still, it remains a power-dining paragon. Pastas are lovely across the board, whether delicate ravioli stuffed with lobster or pappardelle with deeply flavorful wild-boar ragu. As at Fiola Mare, fish is handled particularly well. During a year when tuna tartare is all over menus, the generously portioned ahi version here—done up with olives, Meyer lemon, and creamy sorrel sauce—stands out as one of the area’s best.",https://www.washingtonian.com/food/restaurantreviews/100-very-best-restaurant-2016-fiola
23,Estadio,Spanish,$$,"If you ever want to convince brunch-haters that there’s more to the scene than tepid Benedict and flat mimosas, take them to this tapas house. We can’t think of a happier way to start a morning than with its toasted country bread with honey butter and Maldon salt, or some of the creamiest scrambled eggs we’ve tasted. There’s plenty more at dinnertime, when the no-reservations-after-6 dining room fills up fast—tiny, crusty sandwiches filled with oil-slicked chorizo and nutty Idiazabal cheese, plancha-grilled calamari doused with lemon, a cheesecake made with Manchego, and, to go with it all, killer gin-and-tonics and seasonal “slushitos.”",https://www.washingtonian.com/food/restaurantreviews/100-very-best-restaurant-2016-estadio
24,Sushi Capitol,"Japanese, Sushi",$$,"It doesn’t look like a top-tier sushi restaurant—it looks, in fact, like the kind of place you drop by for takeout: seven tables, little in the way of decor. Many who patronize the place don’t choose to stick around, but here’s why you should. The service is warm and inviting, the soundtrack will remind you why you need more Thelonious Monk in your life, and the fish sparkles— quite literally: The cut surface of the chu-toro and salmon were almost gleaming. Load up on rolls if you must, but this is a place to come and appreciate the subtlety and delicacy of the various white fishes that the Japanese—including chef Minoru Ogawa—prize. The $50 omakase remains one of the most underrated dining values out there.",https://www.washingtonian.com/food/restaurantreviews/100-very-best-restaurant-2016-sushi-capitol
25,Jaleo,Spanish,$$,"We take Jaleo for granted. We do. Chew on this for a second: Jaleo has been around almost a quarter century. And how about this? The small-plates craze that you’ve maybe grown tired of but can’t possibly ignore? Jaleo birthed it. But the Dorian Gray of restaurants is still youthful and lively, with a menu that evolves in exciting ways. If you haven’t been in years, you’ll find an excellent selection of Spanish hams (including Ibérico, the ultimate in depth of flavor), along with several shiny new baubles (among them, a dish of uni with trout roe, a delicious means of conveying the salinity and sweetness of nature’s custard). As for the old standbys, such as garlic shrimp or fried cod fritters? Good as ever.",https://www.washingtonian.com/food/restaurantreviews/100-very-best-restaurant-2016-jaleo
26,Preserve,American,$$$,"The mom-and-pop is ordinarily a simple place, humble and homey. And by one measure, this one, across from the legendary diner Chick & Ruth’s Delly on Annapolis’s Main Street, obeys convention. It doesn’t take long to discover, however, that what young vets Jeremy and Michelle Hoffman have come up with is a sophisticated, smartly run operation that belies its low-key intentions. Jeremy—an alum of the kitchens at Per Se, Nobu Fifty Seven, and Restaurant Eve—has crafted a small, focused menu that showcases both his global training (in particular, a facility with Asian flavors) and his Pennsylvania Dutch heritage (say, a lusty plate of pork with sauerkraut). His rendition of a tandy cake, the packaged chocolate/peanut-butter cookie-cake he and many Pennsylvanians grew up snacking on, is the best kind of upscale homage: as delicious as it is affectionate.",https://www.washingtonian.com/food/restaurantreviews/100-very-best-restaurant-2016-preserve
27,The Riggsby,American,$$$,"Hidden in a hotel that resembles your average Dupont Deco apartment building is a keyhole-shaped doorway. Walk through and you’ll discover a place that transports you, Wes Anderson–style, to another time. The dining room looks late-’70s swank and celebrates cocktail-party relics such as the stuffed mushroom and the Harvey Wallbanger. But chef/owner Michael Schlow, also behind Tico in Logan Circle and a handful of well-regarded Boston-area restaurants, isn’t operating strictly within the realm of the nostalgic here. He and deputy Philippe Reininger also put forth lovely fish dishes—including a cut of striped bass with tangy squash purée and pancetta granola—that feel squarely in the 21st century.",https://www.washingtonian.com/food/restaurantreviews/100-very-best-restaurant-2016-the-riggsby
28,Clarity,American,$$$,"The debut of this Vienna restaurant was among the most feel-good stories of the year. It marked the return of local boy Jonathan Krinn, once the wunderkind chef at 2941. When Krinn left to open the glitzy Inox, in Tysons, he failed—and failed big: a victim of the times (Inox opened in 2008, when the market crashed) and his own bloated dreams. Clarity is a more modest venture, a neighborhood restaurant first and foremost. Ambition has shrunk, to be sure, but the classical chops are still there, and it’s not hard to see that Krinn, working with ex–Central chef Jason Maddens, is relaxed and cooking with passion. Actually, you can taste it in dish after dish, from seared foie gras with blackberries to a rich two-patty burger that ought to come with four napkins. But among the most appealing aspects of the place are small flourishes—the freshly baked breads and happy-making desserts.",https://www.washingtonian.com/food/restaurantreviews/100-very-best-restaurant-2016-clarity
29,Le Diplomate,French,$$$,"Washington’s buzziest, red-leatheriest French bistro is still jammed many nights, thanks to its no-surprises approach to Larousse Gastronomique–style cookery. This is the place if you’re in the mood for a strapping beef bourguignon, or an onion soup that tastes as if its broth has been simmering for days, or a perfectly brittle-crusted crème brûlée. But the magic of Le Dip comes from more than that—the lovely little cocktails (we’re currently hooked on the Clouseau, with bourbon, fig, and plum bitters), fresh breadbasket, and smart service all work to create one of the most harmonious dining experiences around.",https://www.washingtonian.com/food/restaurantreviews/100-very-best-restaurant-2016-le-diplomate
30,Bibiana,Italian,$$$,"The departure of chef Nick Stefanelli—who left to open his own venture, Masseria—has brought fresh energy and talent to Ashok Bajaj’s stylish osteria. Chef Jake Addeo arrives by way of notable Italian restaurants in New York and Hong Kong, including stops with Mario Batali and Lidia Bastianich. His kitchen shows deftness with crudos—try hamachi drizzled with fruity olive oil, preserved citrus, and pink peppercorns—and more robust dishes, such as dry-aged duck breast with Italian prunes or velvety noodles in a classic Bolognese. In a hurry? Seek out the warm-hued bar, which pours tasty cocktails mixed with Italian liqueurs and serves a pasta lunch with wine and sorbetto for $18.",https://www.washingtonian.com/food/restaurantreviews/100-very-best-restaurant-2016-bibiana
31,2Amys,"Italian, Pizza",$$,"“Serenity Now”—a menu section devoted to Calabrese olives, anchovies with bread and butter, and other snacks—embodies everything we love about Peter Pastan’s pizzeria and wine bar. These are simple dishes that rely on top-quality ingredients and studious technique. Grazers and adventurous eaters rightly swear by a meal from the changing small-plates roster, such as grilled peppers and anchovies with a glug of olive oil or braised beef meatballs crisped in the fryer. And don’t ignore the beautifully charred pizzas, best ordered with a side of tangy tomato sauce for dunking. Kids and families abound in the downstairs dining room. There’s a quieter space upstairs for stroller-free adults.",https://www.washingtonian.com/food/restaurantreviews/100-very-best-restaurant-2016-2amys
32,Ananda,Indian,$$,"You’ll have to work to find the place, housed in an unmarked building. The reward is worth it—a grand retreat complete with nine fireplaces and a veranda. What the kitchen is up to isn’t immediately obvious, either. The MO of brothers Keir and Binda Singh is to infuse a farm-to-table ethos into the Indian curry house. That means more herbs, less ghee and yogurt, and lighter, clean flavors. The quality of the meats further separates the place from the pack.",https://www.washingtonian.com/food/restaurantreviews/100-very-best-restaurant-2016-ananda
33,Rice Paper,Vietnamese,$,"Washingtonians are used to waiting in line for places like Rose’s Luxury or Bad Saint. But how about Rice Paper, in the Eden Center? On a recent visit, the line was out the door. On a Monday. At lunch. One of its secrets: about ten cooks in the tiny kitchen—twice as many as that of some similar-size restaurants. The degree of detail in these dishes is testament to the depth of the brigade—the complex saucing in a short-rib clay pot, or the lacy crunch of a rice crepe.",https://www.washingtonian.com/food/restaurantreviews/100-very-best-restaurant-2016-rice-paper
34,Obelisk,Italian,$$$$,"Today’s dining scene often favors the adventurous (edible insects!), so there’s much that’s deeply pleasurable about Peter Pastan’s 29-year-old tasting room. Tricks are few—plates of burrataare set out for maximum room-temperature creaminess—and hassles are none, thanks to a poised waitstaff who leisurely pace the five-course meal. Linger over the antipasti (also a Pastan strong suit at 2Amys and Etto), the generous wine pairings, and the pastas, such as house-made noodles with squid. To say the cooking is simple doesn’t give the kitchen its due—sourcing the best ingredients and showing skillful restraint is a talent in its own right.",https://www.washingtonian.com/food/restaurantreviews/100-very-best-restaurant-2016-obelisk
35,Kapnos and Kapnos Taverna,Greek,$$,"No doubt you’ve had a gyro before. Grayish-brown meat sliced from a vertical spit and stuffed into a packaged pita. Now get a load of the gyro at Mike Isabella’s Kapnos Taverna—thick slices of roasted lamb, dripping with juice and singing of garlic and fresh oregano, tucked into a flatbread fresh from the grill, and slathered with tzatziki so thick and rich you could envision eating it by the tubful. Isabella is Italian, not Greek, but he got his start at José Andrés’s Zaytinya, and his affection for the cuisine is evident in the bright, zesty dishes that fly out of these kitchens. At Kapnos, meat is dominant. At Kapnos Taverna, in Ballston, fish is the center of the menu. What unites them, however, is more important than what divides them: The ingredients are first-rate, the presentations are dramatic, the flavors pop.",https://www.washingtonian.com/food/restaurantreviews/100-very-best-restaurant-2016-kapnos-kapnos-taverna/
36,DBGB Kitchen and Bar,"American, French",$$$,"Daniel Boulud hasn’t gotten the wild attention that some of his CityCenterDC neighbors have, from either the press (in the case of Momofuku CCDC) or the Department of Health (Fig & Olive). And despite his sterling reputation, the French-born New York chef’s bistro here opened with more of a flicker than a blaze. Turns out it was just taking its time to settle in. The glassy room still feels more tightly controlled than laissez-faire, but that’s a good thing when it comes to the food, which is more confident than ever. French classics—a textbook coq au vin, a quivering Grand Marnier soufflé—are handled beautifully. But it speaks to the kitchen’s versatility that a link of Thai pork sausage is as much of a pleaser as a fat boudin blanc.",https://www.washingtonian.com/food/restaurantreviews/100-very-best-restaurant-2016-dbgb-kitchen-bar/
37,Mintwood Place,"American, French",$$$,"Cedric Maupillier led 2015’s most exciting restaurant opening (that’d be Convivial, number four on this list), but his original Adams Morgan bistro isn’t suffering from inattention. This is strapping Franco-American comfort food executed with immaculate care—as evidenced by his burnished, beautifully crisp escargot hushpuppies. The menu changes just enough to keep things interesting. Still, we’re glad Maupillier doesn’t seem willing to part with the stacked beet-and-goat-cheese salad and bacon cheeseburger that have been around since day one. The loud room—woodsy and lined with antique farming tools—has a wonderfully enveloping quality, especially in the dead of winter.",https://www.washingtonian.com/food/restaurantreviews/100-very-best-restaurant-2016-mintwood-place
38,The Red Hen,Italian,$$,"There’s a wonderful story about Rodin—that when his apprentices praised the hands on one of his sculptures, Rodin proceeded to hack them off. The piece was thus left handless, and declared finished. The moral? No single element should predominate. So it goes here, where the only thing that stands out is the seamlessness with which food, service, and ambience are integrated into a thriving whole. Yes, the pastas are both imaginative and fulfilling, but get a load of the wooden tables and chairs, the most handsome pieces of restaurant furniture in the area. And although the wine list is full of fascinating finds, the dark, laughter-filled room is its own narcotic. Some inconsistencies have cropped up of late, probably a function of the owners’ split attention as they debut another restaurant. We don’t foresee a long-term problem—the place has been too consistent for too long.",https://www.washingtonian.com/food/restaurantreviews/100-very-best-restaurant-2016-the-red-hen
39,Iron Gate,"Italian, Mediterranean",$$$,"A couple decades ago, the Iron Gate Inn, as it was called, was known for its lovely date-night space and not much else. Now, two years after it was taken over by the Neighborhood Restaurant Group, it’s a destination for its cooking, too. Anthony Chittum excels with the peasanty sides of Greek and Italian cuisine. On the wisteria-covered patio (one of the most romantic spots around, even in winter, when fire pits warm it up), you can graze on small plates such as maple-roasted squash with yogurt, as well as platters of roasted meats. In the dining room, choose from four- and six-course tasting menus. NRG employs a dream team of cocktail and wine gurus, and what’s in your glass is given just as much thought as what’s on your plate.",https://www.washingtonian.com/food/restaurantreviews/100-very-best-restaurant-2016-iron-gate
40,Ray’s the Steaks,Steaks,$$,"The robust rope of hanger steak at this no-frills steakhouse was the single best steak we’ve had all year. It’s telling that Ray’s puts just as much effort into its cheapest cut as it does into its most expensive, an exceptional 60-day dry-aged côte de boeuf. In business speak, Ray’s is a disruptor, except that 14 years after it sought to break the mold of the bloated, overpriced steakhouse, nobody else has followed. No matter—that just makes Ray’s more singular. In a genre in which spinach and mashed potatoes are costly sides, owner Michael Landrum offers them free of charge. It seems unfathomable that a twosome could leave a steakhouse for less than $100, but it’s eminently possible at Ray’s. And yes, that includes a wedge of the tart Key-lime pie.",https://www.washingtonian.com/food/restaurantreviews/100-very-best-restaurant-2016-rays-the-steaks
41,Del Campo,"Peruvian, Steaks",$$$$,"Some restaurants have a feminine air, all warm hues and soft textures. Some are decidedly masculine—dark dens where business is transacted. Del Campo is a macho preserve. The sensibility is swaggering—the leather-bound menu, the gargantuan steaks, the confident air of the staff. Heck, even the small plates are big. The name refers to the rustic culture that is to Peru and Uruguay what cowboy culture is to America: a mythos, and a culinary world unto itself. The chef, Victor Albisu, doesn’t merely pay homage to that world—he aims to thread its fireside essence through every item on the menu. The cocktails whisper of smoke, and even the desserts are torched. In between, you can count on strong, assertive flavors to stand up to the char of the grill.",https://www.washingtonian.com/food/restaurantreviews/100-very-best-restaurant-2016-del-campo
