,restaurant,type,price,rating,review,url
15,AQ,Cuisine Contemporary,From 50 USD    to 74 USD,Good standard.,"Like its once-sketchy, increasingly tech-centric SoMa corridor, this chic Californian restaurant is aiming for the stars-and even if it doesn't always succeed, it's certainly never a dull ride. Whether you opt for the four-course or tasting menu, you'll be wowed by flavor combos that are always intriguing and often breathtaking: think silky-sweet scallop crudo with white sesame and pineapple, earthy beets with snap peas and lavender ice cream, and black cod with clam butter. AQ's hyperseasonal menus are gently accented by a quarterly décor shakeup; depending on the time of year, you'll find cherry blossoms or fall leaves accenting the sleek, neutral space. Be sure to come early to enjoy one of the exceptional cocktails at the front bar.",https://www.viamichelin.com/web/Restaurant/San_Francisco-94103-AQ-365867-41102
16,Una Pizza Napoletana,Cuisine Pizza,From 25 USD    to 49 USD,Simple standard.,"In keeping with owner Anthony Mangieri's monastic devotion to the perfect pie, Una Pizza Napoletana is a spare space, housed in a chilly former garage on an industrial corner of SoMa. The vibe is completely casual yet alluring with crowds riveted by the altar-a tiled turquoise oven, where Mangieri stretches dough and deftly coaxes the crackling wood fire to produce his perfect pies. Their blistered and puffy crusts sport a delicious char as well as an addictively chewy texture thanks to tangy fermentation. Waits are long, but the hassle is well worth it after one bite of the Filetti, slathered with creamy buffalo mozzarella and juicy cherry tomatoes. Mangieri is unquestionably a master of his craft, and his pies are a cut above local competition.",https://www.viamichelin.com/web/Restaurant/San_Francisco-94103-Una_Pizza_Napoletana-325326-41102
17,Modern Thai,Cuisine Thai,From 13 USD    to 24 USD,Simple standard.,"""Modern"" is a bit of a misnomer, as this tropical Thai retreat actually feels like a step back in time with its whitewashed colonial façade, linen-topped tables, and rattan chairs. But the anachronism also applies to the portions (incredibly generous) and prices (incredibly reasonable), making it a favorite for nine-to-fivers seeking an affordable lunch break. Sweet and spicy Thai flavors abound here, from warm salads of glass noodles and minced chicken with a fish sauce-lime vinaigrette to comforting noodle soups like the khao soy, with chicken and egg noodles in a rich yellow coconut curry. And the MT sundae, a combo of coconut ice cream, sugar palm fruit, red beans, and jackfruit, is a refreshing dessert perfect for lunchtime dining.",https://www.viamichelin.com/web/Restaurant/San_Francisco-94109-Modern_Thai-271330-41102
18,1601 Bar & Kitchen,Cuisine Sri Lankan,From 25 USD    to 49 USD,"Bib Gourmand: good quality, good value cooking.





Good standard.","The flavors of India and Asia infuse the creative dishes at this quiet winner, which blends Eastern and Western ingredients to arrive at its very own delicious concoctions. A decidedly untraditional lamprais might stuff a classically French bacon-wrapped rabbit loin, toasted buckwheat, and eggplant curry into a banana leaf. Meanwhile, the halibut ""ceviche"" is more like a flavored sashimi, with hints of coconut milk and rings of serrano chilies. The sleek, contemporary space with its wraparound windows, lovely art, and slate walls, is a perfect showcase for the food. Dine solo at the bar with a bittersweet Dubonnet sangria, or come with a group to share dishes and bottles of wine at the communal table-the polished staff makes either experience enjoyable.",https://www.viamichelin.com/web/Restaurant/San_Francisco-94103-1601_Bar_Kitchen-401080-41102
19,Pampalasa,Cuisine Filipino,From 13 USD    to 24 USD,Simple standard.,"""Pampalasa"" is Tagalog for ""to add flavor,"" and that's precisely what this new Filipino restaurant has done to this industrial stretch of Folsom Street. With sunny yellow walls and lots of Filipino artwork, it has a casual, island-party vibe. Adding to the fun, you're encouraged to dine kamayan-style (with your hands); there's a sink in the center of the room for easy cleanup. Kick things off with the tocino sliders, rich vinegar-soy marinated pork topped with garlicky lechon sauce on a pillowy pan de sal bun. From there, the savory, moist chicken adobo awaits, atop garlic rice with tiny dried shrimp. (Ask for a side of hot sauce and banana ketchup for even more flavor.) Deep-fried banana spring rolls with calamansi coconut cream are a sweet finish.",https://www.viamichelin.com/web/Restaurant/San_Francisco-94103-Pampalasa-477465-41102
20,Kiss,Cuisine Japanese,From 50 USD    to 74 USD,Simple standard.,"In a sea of trendy and flashy Japanese restaurants, this mom-and-pop standby sometimes gets drowned out-but one taste of its top-quality fish will have you hooked for life. Traditional nigiri, ranging from giant clam and halibut to bluefin tuna, arrives minimally dressed and served atop excellent rice. Appealing non-sushi options include a delicate chawan mushi filled with flaky white fish and buttery ginkgo berries, with an umami-rich dashi. Adjacent to Japantown's Peace Plaza, tiny Kiss is easy to miss (look for the sign on the door), and reservations are recommended. Expect a quiet, sparse, and decorous atmosphere, with polite service from the husband-and-wife owners. The contemplative vibe encourages savoring each delicious morsel.",https://www.viamichelin.com/web/Restaurant/San_Francisco-94115-Kiss-253808-41102
21,Liholiho Yacht Club,Cuisine Hawaiian,From 50 USD    to 74 USD,Good standard. Our best addresses.,"This charming, highly personal newcomer delightfully reflects Chef/owner Ravi Kapur's patchwork upbringing-blending Hawaiian, Indian, Asian, and Californian influences into its own unique cuisine. Blue entryway tiles spelling ""ALOHA"" lead to a bustling bar, a sunny-yellow exhibition kitchen, as well as a sleek dining room, all attended to by exceptionally hospitable servers. A refreshing Clifton special cocktail (with genever and coconut water) is the perfect counterpart to intriguing snacks like silky tuna poke atop crunchy nori crackers, smoky beef tongue wrapped in fluffy clamshell buns, and Flintstone-sized beef ribs in a sweet-spicy red chili sauce. Be sure to save room for the tangy, dense cardamom cheesecake with pistachio and Cara Cara oranges.",https://www.viamichelin.com/web/Restaurant/San_Francisco-94109-Liholiho_Yacht_Club-471911-41102
22,Octavia,Cuisine Californian,From 50 USD    to 74 USD,"A MICHELIN star: cuisine of great finesse. Worth the step! 





Good standard.","Chef/owner Melissa Perello, already a local culinary personality with Frances, shines even brighter at this new sequel in the tony Lower Pacific Heights neighborhood. Packed with a dynamic and diverse group of diners, the airy and open space is designed with a minimalist-chic eye, from the white-tiled kitchen to those raw-wood benches lined with wool-encased pillows. Service is enthusiastic and genuinely hospitable. Chef Perello has a gift for elevating straightforward dishes through the use of pristine ingredients and technique, and her magic is in full force here with dishes like golden saffron fettuccine twirled with caramelized garlic, wilted fennel, and roasted tomatoes. Luscious roasted king salmon with fingerling potatoes in a dill-infused crème fraîche sauce may seem basic, but in her hands, it's anything but. Even a simple grilled toast, with warm, creamy house-made ricotta and charred spring onion, is revelatory. At Octavia, the golden touch extends to the exquisite desserts, which might include a nectarine ""float"" with nectarine ice cream and soda, mint, and lavender, and the thoughtful wine list brims with unusual options. With food and furnishings this captivating, tables fill early, so be sure to reserve well in advance.",https://www.viamichelin.com/web/Restaurant/San_Francisco-94109-Octavia-471905-41102
23,Aveline,Cuisine Contemporary,From 50 USD    to 74 USD,Good standard.,"Snap-happy Instagrammers will delight in this contemporary stunner in the Warwick Hotel, where the Hollywood Regency-style room and exquisitely arranged plates are picture-perfect. Located steps from the busy shopping corridor of Union Square, it's a great spot to unwind with a refreshing, bubbly cocktail-either over a full meal or a snack at adjoining bar, The European. The kitchen's artful creations include a spiraling arrangement of house-smoked salmon with ribbons of lightly pickled vegetables and avocado purée, or a crispy duck leg resting atop charred Brussels sprouts, cherry, and parsnip. Don't miss the menu's chief attraction: delicate, buttery crab ""macarons"" or tiny sandwiches filled with an ample portion of creamy, herb-flecked crab salad.",https://www.viamichelin.com/web/Restaurant/San_Francisco-94102-Aveline-445269-41102
24,Kin Khao,Cuisine Thai,From 25 USD    to 49 USD,"A MICHELIN star: cuisine of great finesse. Worth the step! 





Simple standard.","Don't let its covert location fool you-Kin Khao is a flagrantly delicious and very distinctive dining room. The décor is unexceptional by no uncertain terms, but really nobody seems to care, as the cooking-punctuated by Californian elements and welcome seasonality-is the real deal. Northern Thai is what this kitchen is all about and pad Thai-loving palates should vacate these premises...pronto. Of course, the unique menu reads like a veritable thesis on Isaan food mingled with California love. Then there's the easygoing and chill staff who never miss a beat-as they bestow tables with vibrant, product-driven plates. These have included crispy lima beans tossed in nam tok followed by crunchy albeit not as ""hot"" chicken wings massaged with tamarind and chili. Pork meatballs seasoned with garlic and lemongrass (laab tod) are enriched by a phenomenal chili (jaew) sauce; while a gorgeous platter of crunchy vegetables is accompanied by a jar of the incredible nam prik (potent with shrimp paste) layered with caramelized pork jowl, fried catfish, and a salted duck egg. Panang curry with tender-braised duck is a champ among palates less valiant. Closing arguments may reveal that this is a truly Thai kitchen turning out insanely memorable food. All objections overruled.",https://www.viamichelin.com/web/Restaurant/San_Francisco-94102-Kin_Khao-445271-41102
25,54 Mint,Cuisine Italian,From 25 USD    to 49 USD,Good standard.,"With its largely Italian waitstaff and clientele, a meal at 54 Mint is the next best thing to a plane ticket to Rome. A happy respite from the neighborhood's hustle and bustle, the space boasts a contemporary dining room stocked with shelves of Italian ingredients and a surprisingly tranquil front patio facing Mint Plaza. The food is an authentic culinary journey through the Eternal City, with favorites like perfectly al dente bucatini all'amatriciana, twirled with smoked pancetta, sweet onion, tomato, and chili. The must-order suppli, fried balls of tomato risotto stuffed with smoked mozzarella, are best described as arancini on steroids. For dessert? The buttery, dark chocolate-flecked ricotta tart will leave you feeling molto buono.",https://www.viamichelin.com/web/Restaurant/San_Francisco-94103-54_Mint-259835-41102
26,Manora's Thai Cuisine,Cuisine Thai,From 13 USD    to 24 USD,Simple standard.,"A firmly rooted dining destination in this otherwise underdeveloped part of town, Manora's has been a source for authentic Thai dishes since the '80s. Crowds flock here for the affordable lunch specials, which include gems like pad Thai topped with plump shrimp and a golden fried egg, fragrant lemon chicken soup, and moist, perfectly charred satay skewers surrounded by fresh vegetables. The pace at dinner is more relaxed, with endearing service that makes customers truly feel at home amid the wood carvings of the dining room. The fresh, zingy flavors of dishes like spicy green papaya salad draw diners through the well-aged wooden door again and again. Meals are all the better when cooled off with a creamy cold coffee or sweet Thai iced tea.",https://www.viamichelin.com/web/Restaurant/San_Francisco-94103-Manora_s_Thai_Cuisine-122690-41102
27,Bar Agricole,Cuisine Californian,From 25 USD    to 49 USD,Good standard.,"Cocktails and conversation are always a pleasure at Bar Agricole, which is known for having one of the city's best drink programs. Its narrow, industrial-modern dining room boasts soaring ceilings from which huge acrylic sculptures hang, while mod concrete booths line the side wall. An outdoor patio, with plant beds and a trickling fountain, is particularly popular for brunch. The menu is thoroughly Californian and loaded with the season's best, showcased in dishes like a frisée, arugula, and radish salad with a citronette dressing; halibut brandade with asparagus; as well as roast pork leg and belly with Canario beans, greens, and horseradish. At brunch, opt for flavorful, tender, and homemade lamb sausage served over fried eggs and wilted kale.",https://www.viamichelin.com/web/Restaurant/San_Francisco-94103-Bar_Agricole-325323-41102
28,The Progress,Cuisine Contemporary,From 50 USD    to 74 USD,Good standard.,"The sequel to mega-popular State Bird Provisions, located right next door, has retained all of its sibling's inventiveness while moving things forward (hence the name) in a more restrained, elegant way. Set in a 100-year-old former theater, the retro-industrial space is a real looker, with attentive, thoughtful service and exceptional wine and cocktails to boot. Diners are encouraged to team up to savor the ""choose-your-own-adventure"" feast, which allows a choice of six courses from a list of about 20. The enticing array of dishes includes ""potstickers"" filled with triple-cream cheese and peas, spice-rubbed grilled squab with salted chili paste, and earthy poppy-seed cake with mascarpone, pistachio paste, and strawberries for dessert.",https://www.viamichelin.com/web/Restaurant/San_Francisco-94115-The_Progress-471882-41102
29,State Bird Provisions,Cuisine American,From 25 USD    to 49 USD,"A MICHELIN star: cuisine of great finesse. Worth the step! 





Good standard.","The crowds start queuing up long before State Bird Provisions swings open its doors, with excited guests hoping to score one of their few dozen walk-in spots (you can also make reservations, but the process is still a coup). The buzzing and open kitchen located up front is the focal point of the space. The energy is palpable, and a night out at this popular spot can feel (in the best way possible) like you've scored a ticket to a very cool party. The bright, industrial-chic dining room features countrified yet sleek wooden tables; and playful pegboard walls showcasing intricate wire sculptures. The easygoing army of servers roll the kitchen's seasonal American small plates around dim sum-style on trolleys (or carry it by foot), showcasing each menu item with an accompanying price tag. It's hard not to want a taste of everything on offer, which is probably even more reason to come with as many friends as you can rally. A quenelle of rich squab liver pâté is spread on sweet almond cakes; while plump Guinea Hen dumplings are served in a fragrant hen broth. Then, a flaky, croissant-like wheat bread gets a creamy hit of burrata and thump of crushed black pepper; and ultra-fresh sweet peas are paired with spicy horseradish cream and fried parsnip chips.",https://www.viamichelin.com/web/Restaurant/San_Francisco-94115-State_Bird_Provisions-365863-41102
30,398 Brasserie,Cuisine French,From 50 USD    to 74 USD,Good standard.,"Skip the Union Square tourist traps and head for this newcomer in the Hotel G, where the French-accented fare is a step up from the neighboring options. Distressed pillars and ceiling panels give the interior a demolition-chic vibe, but contemporary chandeliers, sleek furniture, and a gleaming exhibition kitchen make the chaos feel flashy, not funky. The cocktail crowd descends early here, and for good reason: the drinks are outstanding, and pair well with the kitchen's Euro-American cuisine. Try the classic Lyonnaise salad of frisée, poached egg, crisp bacon lardons, and duck prosciutto, or the tender duck confit with cremini mushroom fricassee. If it's available, the wood-roasted calamari with smoked peppers and chorizo is not to be missed.",https://www.viamichelin.com/web/Restaurant/San_Francisco-94012-398_Brasserie-468657-41102
31,The Cavalier,Cuisine Gastropub,From 25 USD    to 49 USD,Good standard. Our best addresses.,"One of the city's high-profile openings, this is the third effort from the team behind Marlowe and Park Tavern. Everything here has a British bent, echoed in the hunting-lodge-gone-sophisticated décor with red-and-blue walls accented by taxidermied trophies and tufted banquettes. Across-the-pond classics have Californian twists like a deep-fried Scotch duck egg wrapped in truffled duck rillettes. The restaurant has quickly become a see-and-be-seen haunt of the tech oligarchy (complete with a private club). However, the food is comforting and homey as seen in a caramelized roast chicken set atop horseradish mash. Though reservations are a must, its location in Hotel Zetta means service runs from morning to night, giving diners plenty of options.",https://www.viamichelin.com/web/Restaurant/San_Francisco-94103-The_Cavalier-437012-41102
32,Tin Vietnamese,Cuisine Vietnamese,From 25 USD    to 49 USD,Simple standard. Our best addresses.,"The modern atmosphere at this hip downtowner might conjure thoughts of misguided fusion fare, but rest assured: when it comes to food, Tin is as traditional as it gets. Nonetheless, the dark wood walls, sleek glass pendant lights, and rich wood furnishings are a welcome change, making the spot a draw for groups residing far beyond its gritty, largely industrial neighborhood. High-quality ingredients are the secret that sets this kitchen's cooking apart-from crunchy threads of banana blossom tossed with fried eel, shallots, peanuts, and herbs, to smoky soy-lemongrass pork shoulder atop rice noodles with a spicy lime-chili dipping sauce. Throw in some crunchy imperial rolls and garlicky, peppery wok-tossed shaking beef, and you'll have an affordable feast.",https://www.viamichelin.com/web/Restaurant/San_Francisco-94103-Tin_Vietnamese-468675-41102
33,Dosa,Cuisine Indian,From 25 USD    to 49 USD,"Bib Gourmand: good quality, good value cooking.





Good standard. Our best addresses.","Grandeur and glamour infuse every inch of this stylish restaurant, whose soaring ceilings and glittering crystal chandeliers complement the boldly flavored, fragrantly spiced fare. As the name suggests, dosas are a highlight, with crisp exteriors, spicy fillings, and excellent accompanying sambar and chutney. Welcoming servers will help translate street favorites like bhel puri (a delicious sweet-spicy blend of puffed rice, crispy noodles, green mango, and chutney); or shake up a tangy Bengali gimlet with gin, curried nectar, and lime. Desserts are every bit as exotic as the rest of the menu and include rasmalai-delicate patties of fresh cheese in sweet cream flavored with cardamom and rosewater. Find a second, smaller location on Valencia Street.",https://www.viamichelin.com/web/Restaurant/San_Francisco-94115-Dosa-257772-41102
34,M. Y. China,Cuisine Chinese,From 25 USD    to 49 USD,"Bib Gourmand: good quality, good value cooking.





Good standard.","Need proof that Yan Can Cook? Just snag a table at the famed PBS chef's elegant restaurant. Housed under the dome of the Westfield San Francisco Centre shopping mall, M.Y. China is a dark, sultry space full of posh Chinese furniture, antiques, and dramatic lighting. Shopping-weary patrons fill the dining room; whereas chowhounds hit the exhibition counter to watch the staff masterfully hand-pull noodles and toss woks. The menu reads like an ode to regional Chinese cuisine, spanning chewy scissor-cut noodles with wild boar, fluffy bao stuffed with sweet and smoky barbecue pork, and, when it's in season, delectable pepper-dusted whole crab. Be sure to order strategically, as you'll want room for the flaky, buttery, creamy, and outright superb Macanese egg tarts.",https://www.viamichelin.com/web/Restaurant/San_Francisco-94102-M_Y_China-394972-41102
35,Acquerello,Cuisine Italian,From 75 USD    to 150 USD,"Two MICHELIN stars: exceptional cuisine. Worth a detour! 





Very good standard.","With its air of old-world sophistication, Acquerello is the kind of establishment where one dresses for dinner, which is always an occasion. The room feels embellished yet comfortable, with vaulted wood-beamed ceilings, warm terra-cotta walls, and contemporary paintings. It's the kind of place where celebrants of a certain age are happy to splurge on a white truffle-tasting menu. Each prix-fixe here promises expertise and finesse, with a carefully curated wine list to match. Count yourself lucky if your meal begins with a silky parmesan budino topped with micro-herbs and lettuces in vinaigrette, surrounded by fragrant pearls of black truffle gelée. Pastas must not be missed, such as the lobster-filled raviolo in smoked butter-lobster jus. Decadent risotti may arrive topped with Taleggio, velvety egg yolk, compressed radicchio and herbaceous nasturtium leaves to cut the richness. A perfectly pink duck breast with sunflower seed-huckleberry relish, Nantes carrots, and pink peppercorn-duck jus adds just the right note of rusticity. Save room for one of the best mignardises carts you will ever encounter, stocked with superlative house-made chocolates, macarons, pâtes de fruits, and caramels.",https://www.viamichelin.com/web/Restaurant/San_Francisco-94109-Acquerello-123501-41102
