,restaurant,Type,Price,review,Rating,Star
445,Ai Fiori,Italian,4,"Elegantly accessed either by a sweeping spiral staircase or the Langham Place hotel elevator, Ai Fiori stands proudly above its busy Fifth Avenue address. Walls of windows and espresso-dark polished wood dominate the space. The Carrara marble bar and lounge furnished with silvery tufted banquettes are ideal for solo diners; large florals, brown leather chairs, and square columns adorn the formal dining room. No matter where you sit, the servers are attentive, the linens are thick, chargers are monogrammed with a goldleaf ""F"" and every last detail is very, very lovely. As one might expect of a Michael White restaurant, pastas here are masterful. Begin with perfectly al dente spaghetti evenly coated in subtly sweet tomato sauce with flakey crabmeat, gently spiced red chilies, and grated bottarga. Fish courses can be even more enticing. Dine on some of the brightest, freshest halibut known to this city, served on an excellent mix of smoky butter beans, chopped pancetta, artichokes, crispy golden croutons, and wonderfully minerally cavolo nero. Finish your meal on a tasty note with a passion fruit curd and mango jelly tartlet along with a crunchy cookie to accompany your cup of strong, hot coffee.",1,1
446,Frankie & Johnnie's,Steakhouse,3,"No surprise that this is a former speakeasy. The first floor is dedicated to drinking at the bar and booths filled with people sipping martinis before heading to Penn Station. Head upstairs, beyond an artistically assembled mound of wax over the vestibule, to enter this classic dining room. Spacious tables, crisp linens, and swift service ensure a steady business clientele. All in all, Frankie & Johnnie's is the kind of place where you shouldn't have to look at the menu. Just go with a nicely marbled, medium rare Porterhouse steak sliced tableside and served with the bone for gnawing. Traditional sides like whipped potatoes or creamed spinach push the limits with butter and cream. For dessert, the cheesecake is prepared with solid New York know-how.",0,0
447,Café China,Chinese,2,"An inconspicuous façade lost in midtown masks this striking restaurant, decorated with seductive portraits of 1930s Shanghai starlets, bright red chairs, lush bamboo planters, and a dominating marble-and-dark wood bar.The kitchen continues to struggle with popularity, yet on each table find balanced and elegant expressions of Sichuan cuisine that can stand above most in the city-one that avoids the easy umami of monosodium glutamate and egg rolls for composed, elegant expressions of this region's dishes. The almost overwhelming menu features dozens of cold and hot appetizers, noodles, entrées, and desserts. From refreshing pieces of cold-poached chicken tossed with a generous mound of chili-oil and peanuts, to aromatic smoked tofu mingled with silky batons of celery stalk, flavors here often bring more complexity than straight heat and the presentations are more genteel than brute. But that's not to say the kitchen doesn't conduct a fiery arrangement-try crisp, meaty, and double cooked pork belly harmonized with hot Sichuan peppercorns, green bell peppers, leeks, and fermented black beans. It's a face-melting experience that is more New York authentic, but still, devilishly delicious.",1,1
448,Morgan's BBQ,Barbecue,2,"Barbecue has been having a New York moment, mixing up sauces ranging from the vinegar-heavy Eastern NC-style to sweeter Tennessee renditions. At Morgan's, it's all about Texas, where there is an unparalleled emphasis on the quality of meat and smoke. The bare wood tables, plastic bottles, and industrial rolls of paper towels provide no dining frills-not that they are missed. Come hungry for slow-smoked brisket with a spicy and inspired rub that's straight out of Austin. Hard to find outside the state, the Hill Country specialty of deep-fried turkey tails is especially tender, served over porky collard greens and salty-sweet cornbread with pepper jelly. Sides are to die for; same goes for the signature pecan ""cutie pie"" made with Widow Jane Bourbon.",0,0
449,Umi NOM,Asian,2,"Discerning Pratt students likely inspired the team behind Umi NOM, a fun and adventurous area standout. Outfitted in wood paneling and pew-like benches, the narrow space incorporates intriguing design elements and bamboo ornaments to keep the eyes as pleased as the palate-and rises well above the typical takeout joints that line this unremarkable block. The lack of a liquor license is all but forgotten with a sip of the thirst-quenching calamansi juice to pair with fusion tacos stuffed with strips of pig's ear, pickled onions, smoked spicy salsa, and more. Don't miss the pad krapow made with ground beef, long beans, Thai chilies, and clove-like holy basil. Pork belly adobo, braised for three hours in coconut milk and spices, is a thing of beauty.",0,0
450,Anella,Contemporary,2,"Tucked away in Greenpoint, just a few blocks from the East River, Anella hosts diners in an intimate rough and tumble space boasting a sliver of a dining room, charming back patio, and welcoming bar fashioned out of a reclaimed work bench from the Steinway & Sons piano factory. The kitchen is on display and sends forth a menu of ambitious creations, beginning with a loaf of bread freshly baked and served in a clay flowerpot. Smoke was a recent inspiration as seen in a slice of brisket afloat in a lusciously fluid risotto of spinach and garlic. Other preparations have included seared striped bass paired with lentils and cauliflower that was roasted and whirled into a purée; and a finale of apple crémeux atop almond cake sided by rum ice cream.",0,0
451,Franny's,Italian,2,"This timeless neighborhood staple keeps its crowds happy with two wood-burning ovens that churn out lovely thin-crust pizzas. The long bar will likely be your first stop with excellent cocktails that help pass the wait time. The warm space has colorful patterned floor tiles and neatly stacked cords of wood for those crackling ovens. The open kitchen provides a bit of theater as pies are plucked from the oven-that delicate pizza topped with tomato, sausage, and mozzarella is simple and satisfying. True Italian spirit shines in the carefully executed bucatini with garlic, anchovies, chilies, and toasted breadcrumbs, even if portions are a bit shy. Thankfully there may be more room for dessert, so go for the crunchy cannolo filled with lemon ricotta.",0,0
452,Al di Là,Italian,2,"This long-loved Park Slope gem from husband-and-wife team Emiliano Coppa and Chef Anna Klinger (of the Crown Heights café Lincoln Station) has been deliciously consistent over the years. Inviting and lived-in with wooden pew seating, dainty wallpaper, and a blown glass chandelier, it's both comfortable and chic enough for a romantic dinner a due. Al di Là's Italian delights are northern in spirit and include enticing preparations. A salad of roughly chopped escarole is tossed with thinly shaved Jerusalem artichokes, slivers of red onion, diced crisped pancetta, toasted walnuts, and a warm sherry vinaigrette. When offered, the lasagna alla Bolognese, fashioned from sheets of fresh pasta and served hot from the oven with crisped edges, is a must.",0,0
453,The Finch,American,3,"Chef Gabe McMackin has nailed the definition of the perfect neighborhood restaurant, making it well worth a trip to this charming Brooklyn quarter no matter where you live. Step through the bright blue façade to find a welcoming vibe, contemporary rustic décor-complete with wood beam ceilings and farmhouse chairs-and seriously enjoyable food. Having incorporated a former tattoo parlor and storefront, The Finch sprawls out into a series of cozy nooks. At the heart of the operation is an open kitchen where the chef, a Roberta's alum, guides his team to excellence before an audience of diners seated at a Carrara marble counter. Modern yet comforting, the beautiful creations to be enjoyed here are a show of skill and personality. Asparagus is the very symbol of spring when slashed into matchsticks and thrown over a quivering orb of burrata accurately brought to room temperature and accompanied by charred young onions. Chicken is rescued from the mundane as crispy-skinned white meat partnered with a poached egg and smoked bread pudding, all ringed by an intense consommé. Unsurprisingly, dessert is divine, revealing crumbly shortcake filled with sour cherry compote and dabbed with whipped cream.",1,1
454,Karczma,Polish,1,"Located in a slice of Greenpoint that still boasts a sizeable Polish population, Karczma offers a lovely old-world ambience that may belie its age (opened for five-plus years) but perfectly matches its very traditional, budget-friendly menu. Hearty offerings may include peasant-style lard mixed with bacon and spices, or a plate of Polish specialties piled high with pierogies (three varieties, steamed or fried, topped with sliced onions and butter), kielbasa, potato pancakes, hunter's stew, and stuffed cabbage. Grilled plates can be prepared for two or three, while others, like the roasted hocks in beer, could easily feed an army. The quaint, farmhouse-inspired interior is efficiently staffed with smiling servers in floral skirts and embroidered vests.",0,0
455,Larb Ubol,Thai,1,"Chef Ratchanee Sumpatboon is cooking up her own delicious Isaan-Thai storm in Hell's Kitchen. Inconspicuously lodged between Penn Station and Port Authority, Larb Ubol is tidy, cheerful, and dressed with colorful fabrics. The som tom kort muar is cool and limey yet very spicy with green and red chilies dotting the crunchy mound of lettuce, green papaya, rice noodles, and fried pork rind. Savory and satisfying pla dook larb, a spicy ground catfish salad, combines wild ginger, fresh mint, and lime. The deep-fried pork belly, pad ped moo krob, is rendered crisp yet wonderfully chewy, then stir-fried with chopped eggplant, sweet red pepper, and red curry paste. Cool off with a scoop of coconut ice cream garnished with preserved palm seeds.",0,0
456,Tempura Matsui,Japanese,4,"With a whopping 40 years of experience in Japan under his belt, tempura master Chef Masao Matsui requires just three ingredients-flour, water, and egg-to transform a larder of exceptionally fresh seafood and vegetables into a feast unlike any other in New York City. Tempura Matsui is tucked into the corner of a non-descript residential tower, lending an air of Japanese authenticity from its location that's amplified by a luxuriously old-world interior. A counter surrounding the chef's station seats a row of Matsui aficionados set comfortably with lacquer trays, handmade ceramic platters, and gorgeous implements, while a handful of booths offer a much more limited view of the virtuoso proceedings. Diners hoping for fare with American flair will be disappointed, as the food here caters to students of traditional Japanese cuisine. Chef Matsui is a watchful presence, guiding his sous-chefs to produce pieces that are pale gold, delicately crisp, and perfectly cooked. House-made goma dofu, chawan mushi, and sashimi begin the feast, but as lovely as these bites are, they are merely the opening act for the divine tempura-mouthwatering shrimp head, sweet hunk of King crabmeat, and seaweed-wrapped scallop.",1,1
457,Lan Sheng,Chinese,2,"Midday hordes gathered outside its plain-Jane façade evidences the popularity of this midtown Sichuan stop. The pleasant and comfy interior fashioned from high-backed banquettes, wood-carved wall hangings, and colorful accent lights provides a respite once you make it through the doors. Recent experiences have indicated inconsistent cooking, but the fiery and smoky specialties here are still praiseworthy. Nibble on a crispy pile of camphor tea-smoked duck while waiting for the standout items to arrive. These may include miso- and chili-simmered whole fish showered with green onion; strips of bitter melon dressed with black bean sauce; as well as shredded potatoes shined with oil, vinegar, and hit with dried red plus thinly sliced green chilies.",0,0
458,Szechuan Gourmet,Chinese,2,"Come lunchtime, midtown office workers with a jones for the tingly heat of Sichuan peppercorns or the burn of bright red chili oil know exactly where to go. A queue for tables is nearly obligatory, but the pace settles down in the evening and on weekends. Inside, red lanterns and pink linens accent the bustling room and servers attend to tables where specialties are piled high. Though the menu is vast, you can't go wrong by tearing into the best scallion pancakes in town; or cool, hand-shredded chicken draped in a creamy sesame paste and chili oil. Smoked tofu shreds tossed with Asian celery and toasted sesame oil; or wok-tossed jumbo prawns with a crispy shell of peppercorns and spiced salt are the reason for those long lines.",0,0
459,Mapo Tofu,Chinese,1,"""How many?"" That's the greeting at this temple of ""ma la,"" where enticing aromas are sure to lure you in. Find yourself among executives and locals slurping up a host of chili oil specialties (don't wear white!). This is the kind of place where dragons go to recharge their breath. Some may peruse the menu-rife with typos-for daily specials, but most blaze their tongues with Sichuan pickles or chilled noodles tossed in an intense sesame vinaigrette. The place is named after a humble dish, but many items surprise with bold flavors like silky fish fillets swimming in a spicy broth with Napa cabbage, or camphor tea-smoked duck. Peppercorns in stir-fried chicken unite subtle sweetness with intense heat, while sponge squash offers a cooling, textural finale.",0,0
460,James,American,2,"This phenomenal little jewel of a restaurant feels as though it has been presiding over this corner for a hundred years. Pressed-tin ceilings and creaky wood floors make it a nostalgic spot, with modern touches like the Dutch Lucite chandelier lending a chic, romantic vibe. The owners take every detail seriously, from the herb garden on the roof to that wonderful ""Cecil & Merl"" cheesecake they sell online. The contemporary American cooking highlights top ingredients handled with great care, as in delicate celery root soup topped with silky smoked trout and sharp wasabi sprouts. Generous pastas include enticingly chewy trofie enrobed in a pale sauce of puréed greens balancing tart Meyer lemon, earthy sautéed mushrooms, and sharp Pecorino sardo shavings.",0,0
461,Casa Nonna,Italian,2,"Quaint sounding Casa Nonna is actually a behemoth of a restaurant run by an international dining group. A boon to garment district workers and suburban commuters, this sprawling, multi-room space is just a few blocks away from bustling Penn Station and the Port Authority bus terminal. There is a dish for every taste at Casa Nonna, whose attractive menu is replete with satisfying and well-prepared Roman and Tuscan fare. Panini and Neapolitan-style pizza are popular during lunchtime, while dinner serves a hearty lineup of primi such as tagliolini frutti di mare, with fine breadcrumbs clinging the vibrant tomato sauce to the pasta. Entrées feature grilled Cornish hen, spiced alla diavola-style with garlic, lemon, and hot pepper.",0,0
462,Tavola,Italian,2,"This Hell's Kitchen pizzeria is housed in the former Manganaro's Grosseria Italiano, a family-run emporium dating back to 1893. Bright and clean but boasting the patina of its long existence, the dining room now greets guests with a wall of Italian products and a sky-lit double pizza oven. The wood-burning dome crafted of volcanic clay from Mt. Vesuvius produces an array of blistered, chewy, quality-topped pies such as the Baresa, bearing sweet fennel sausage, broccoli rabe, and roasted breadcrumbs. Grilled local calamari with lemon-caper salmoriglio can be found among the starters. The pastas are also an excellent choice, especially lasagna della casa, stacking fresh sheets with bright and saucy veal ragù, ricotta, and mozzarella di bufala.",0,0
463,Phoenix Garden,Chinese,2,"This fuss-free and no-frills basement joint shows Chinatown that delicious Chinese food for a great value can exist outside of its borders. Forgo ho-hum lunch deals and pop in at dinnertime for a delectable selection of Cantonese cooking. The vast menu can take some navigating, so chat up the servers for their expert advice in order to get the goods. Highlights include exquisite salt-and-pepper shrimp, shell-on, butterflied, flash-fried and tossed with sliced chilies and garlic; sautéed snow pea leaves in an egg-white sauce of sweet crabmeat, carrots, and snow peas; sizzling eggplant casserole studded with minced pork and ham; and crispy Peking duck sliced tableside, rolled up in pancakes, and layered with hoisin, cucumber, and scallions.",0,0
464,Brooklyn Star,American,2,"Chef Joaquin Baca's handiwork at Brooklyn Star displays a fun and creative streak that yields admirable results. Pork chops are brined with molasses, striped bass is poached in duck fat, and roasted chicken is glazed with sweet tea and plated with dirty rice. Gluttony will convince you to bolster a meal here with bacon-jalapeño cornbread or buttermilk biscuits. But, let restraint chime in with a tasty raw kale salad; starring golden raisins, toasted peanuts, lemon vinaigrette, and a lacy cheddar crisp on top, it's pleasure on a plate. Though the focus is on the eats, the room is comfortably outfitted with brick red terrazzo floors and grey-trimmed walls. Blonde wood tables are set with bottles of hot sauce, pepper vinegar, and wild flowers.",0,0
465,Locanda Vini e Olii,Italian,2,"This elder statesman of Clinton Hill feels like it was dreamed up by the charming townhouses and tree-lined neighborhood it has served for over a decade. Through lace-covered windows, the dining room flickers its candlelight with unabashed romance. The room is actually a repurposed 19th century apothecary that awakens such historic details as rolling ladders and small wooden drawers. Begin with diverse antipasti, including custardy cauliflower sformato di cavolfiore set atop puréed spinach. Unusual paste include tiny house-made gnocchetti tossed with clams, mussels, and tender shrimp over perfectly braised broccoli rabe. Move on to a restrained and luscious Hudson Valley duck breast, then finish with a warm chocolate torte topped with caramel sauce.",0,0
466,Stone Park Cafe,Contemporary,2,"A true neighborhood place that feels fuss-free, laidback, and just right for lingering, this little corner eatery makes the most of its large windows peering onto Park Slope's vibrant thoroughfare and small nearby park. The airy interior has exposed brick walls, a long bar near the entrance for pre-dinner cocktails, and a candlelit, sunken dining room scattered with linen-topped tables. Satisfying light fare includes grilled baby octopus with chorizo and fingerling potatoes, or grilled lacinato kale served over a frisée salad with tangy buttermilk dressing. Mains like pork loin over Brussels sprouts and rainbow carrots are hearty, and may be tailed by such inventive treats as a mini ravioli-shaped puff pastry baked atop a nutty and crumbly apple cookie.",0,0
467,El Born,Spanish,2,"Hip and happening Greenpoint is a highly appropriate location for this tapas den named after the equally trendy Barcelona district of El Born. The slender expanse of red brick and concrete is brightened by a neon squiggle suspended from the ceiling, red Shaker-style chairs, and a kitchen-fronting wall clad with encaustic cement tile. A tray of crostini, simmered tomato, and garlic cloves is served gratis, for a do-it-yourself pan con tomate to stimulate the palate for what's to come. Enjoy croquetes oozing goat cheese and served with apple compote; or shaved summer squash with ibérico ham, blueberries, and padrón pepper vinaigrette. Stone-grilled octopus seasoned with olive oil, thyme, and paprika is a pretty plate packed with big flavors.",0,0
468,Krolewskie Jadlo,Polish,1,"Krolewskie Jadlo (""king's feast"" in Polish) sits in a Greenpoint enclave that was once home to a large number of Polish immigrants. Although the size of the community has decreased through the years, the area still thrives with a distinct Eastern European soul. The room is pleasant and routinely packed with crowds basking in the enjoyable authenticity. The Polish plate brings all one could hope for in a hearty old-world platter: cabbage rolls stuffed with ground beef and braised in tart tomato sauce; pan-fried potato pierogis; and a link of smoky kielbasa. Other items are just as tasty, like the pounded pork shoulder steak, grilled and brushed with honey, and served with pickled cabbage and beets.A second outpost is located in Ridgewood, Queens.",0,0
469,Elberta,Southern,2,"Elberta has certainly found her groove. This soulful speakeasy that pays homage to a jazz singer and the fuzzy Elberta peach drink, also dedicates nights to live music and creative cocktails. Her approachable vibe leads right into a Southern-inspired menu, featuring elegant interpretations of the usual suspects, including dessert: fantastic brioche doughnuts stuffed with sweet potato, caramel, and chocolate sauce. But before the sweet tooth kicks in, try curry goat-stuffed ravioli in a creamy, cauliflower-based sauce; or Creole fisherman's stew dominated by whole prawns, scallops, mussels, and octopus. Use toasted sourdough or dirty rice loaded with gizzards and chicken liver to sop up the cherry-red tomato base, spiked with peppers, herbs, and spices.",0,0
470,Speedy Romeo,American,2,"Named for a racehorse and just as focused and quick, Speedy Romeo is in for a successful run. Part tavern, part roadside grill, its kitschy décor and modern touches transform this former automotive shop into a surprisingly attractive spot. The owner benefited from years at Jean-Georges' empire, and that intelligence and experience is conveyed through the smart accents and whimsical menu that begins with Italian ingredients. Look to the wood-burning oven for smoky, meaty artichoke halves topped with lemon aïoli, sourdough crumbs, mint, and peppery arugula. Take a chance on the non-traditional but utterly fantastic pizza combinations, such as the St. Louis, layering a proper crust with meats, pickled chillies, and Midwestern Provel cheese.",0,0
471,Luksus at Tørst,Contemporary,4,"Enter through Tørst, wander to the back, and find Luksus-it's like unearthing a little boudoir behind a beer bar. The small, highly Instagrammable room has a Scandinavia-via-Brooklyn look, with a choice marble dining counter for chef viewing and a smattering of tables. Sure, the crowd is heavily tattooed and tight-shirted, but this is no place for poseurs. Luksus has an artsy edge that cements Greenpoint's status as the current hotbed of NY cool. Cue the Girls location scouts. The young staff may be hipsters, but everyone is passionate, friendly, and can recite beer history like it's their catechism. Absolutely go for the pairing. The cuisine is firmly rooted in Scandinavian techniques and ingredients, with inspiration from afar and unfussy flashes of tinkered modernism. Simple staples add drama through spears of crusty sourdough with mouthwatering salty cultured butter. This may lead to barely smoked bluefish set over sunchoke salad, finished tableside in warm broth. Humble palate cleansers more than serve a purpose in the tart, tangy sea buckthorn sorbet with carrot sauce. Clever desserts include the sandy-brown malt granita over parsnip purée dotted with little kisses of cranberry meringue.",1,1
472,Forcella,Pizza,1,"This favored pizzeria offers a convivial vibe in a quaint setting that is simply decorated with white stucco walls and brass sconces. The wood-burning domed pizza oven, encrusted with shards of black tile, is the heart of Forcella. It pumps out a listing of signature pies built upon disks of moist chewy dough that is charred in all the right places, like the pignasecca. A sauce-less pizza Bianca, it's strewn with bits of caramelized onions, crumbles of fennel sausage, and gobs of fresh mozzarella and fontina. Also try the montanara, a house specialty crust that's fried before being decked and then baked as a traditional Margherita. If that doesn't do the trick, create your own pie with any combination from their wide selection of toppings.",0,0
473,Okonomi,Japanese,1,"A small counter and a handful of tables is the extent of this tiny café headed by Chef Yuji Haraguchi, famous for his ramen pop-ups. Regardless of the time of day, Okonomi's delightfully unconstrained Japanese cuisine is a compelling reason to visit. Locally grown produce and domestic fish are the foundation of the high-quality ichiju sansei, a set lunch of shioyaki (salt-grilled) or miso-marinated broiled fish, rice, miso soup, and shira-ae (wilted greens with a tofu dressing). Come evening, the focus shifts to ramen, with each steaming bowl bearing the distinctive hand of the skilled chef. A surf-and-turf broth stocked with thin, straight noodles and roasted fish is just one example; while broth-less mazeman is dressed for the season.",0,0
474,Mercato,Italian,2,"Italian hospitality with a Pugliese accent is on display at Mercato, a rustic trattoria in the western midtown hinterlands. The space is country-chic, with distressed wood tables, soft, exposed bulbs, and vintage signs. The atmosphere is inviting and the menu is inspired by the classic dishes of Puglia, the birthplace of owner Fabio Camardi. First get a drink in your hand, then start with fave e cicoria, a straightforward purée of fava beans and garlicky chicory greens. A well-rounded Italian meal must have pasta, so be sure to indulge in the likes of orecchiette with broccoli rabe and garlic, enhanced with anchovies and breadcrumbs. For something deeply satisfying, try the fennel-dusted porchetta with a hearty side of potato and green cabbage mash.",0,0
475,Snack EOS,Greek,2,"Found just steps away from traffic-clogged Port Authority is this boon to the dining landscape of a workaday quarter of Hell's Kitchen. Come for lunch and find corporate types enjoying a respite in the small cheerful room as they dig into cool salads and hot grilled skewers washed down with mint lemonade. Mediterranean flavors frame the cooking here, so expect to enjoy vibrant items like melitzanosalata scooped up with pita chips from the meze selection-a spread of roasted eggplant seasoned with plenty of fresh garlic, red wine vinegar, diced red pepper, and chopped parsley. Delicious kalamaki (skewers) of chicken breast, thigh meat confit, and onions are grilled, brushed with lemon-honey vinaigrette, and set over a farro salad studded with sun-dried tomatoes.",0,0
476,Le Fond,French,2,"Chef-owner Jake Eberle's cute corner restaurant shows us that not every dish needs reimagining and not every recipe requires reinterpretation. He's a French-trained chef whose cooking is crisp, clean, and comfortingly classic-and his well-balanced menu includes words like ""roulade"" and ""blancmange"" that here seem curiously reassuring. That's not to say his food doesn't pack a punch: the rich, meaty cassoulet could keep an army on the march for days. Globe lights hang from the ceiling to illuminate a sea-blue room with bespoke wooden furniture. The acoustics can be bouncy and those lacking the necessary padding will find the seating a little numbing. But, there is honest toil and earnest endeavor happening here and it deserves support.",0,0
477,Pera,Turkish,2,"For fantastically flavorful Turkish food mingled with modern influences, Pera never fails to please. Lunch does big business in this attractive dining room, layered in a chocolate-brown color scheme and packed with corporate groups and visitors looking for a sleek place to roost. Though dinner is more low-key, the menu always boasts simple and exceptional plates like warm hummus with pastirma; lentil and bulgur tartare; as well as watermelon chunks tossed with feta, fresh tomatoes, and a perfect trickle of olive oil. While service can verge on disorganized, all will be forgiven after a forkful of their classic and tender chicken adana or lamb burger-a juicy bunful of ground lamb coupled with garlic spread, homemade pickles, and addictively crispy fries.",0,0
478,Juventino,Contemporary,2,"A lovely storefront opens into this airy restaurant with distressed wood details and whitewashed walls lending a rustic farmhouse vibe. Tables are lined with pages from old cookbooks and the walls have vintage mirrors and shelves stocked with an impressive selection of cookbooks. This Latin-influenced neighborhood spot also has a seasonal back patio for alfresco dining. Daily brunch makes the most of the bright, sunny eggs that enhance many dishes, especially the lush yolks that ooze into the herbaceous pumpkin seed mole over potato hash with thinly sliced chunks of tender lengua. A deliciously chewy grain salad popping with quinoa, barley, and tender beluga lentils in a tart, lemony vinaigrette is a healthy, tasty pick-and an easy favorite.",0,0
479,Gabriel Kreuther,Contemporary,4,"The Grace Building's swooping white travertine façade is a bulwark for the spacious and serene treasure within, a familiar name that has once again brightened Manhattan's dining scene. Don't let the oasis of nearby Bryant Park distract you from this new destination, where cream leather seating, reclaimed timber columns, and a glass-walled display kitchen combine for a uniquely pulled together enclave boasting a luxe lounge area. Chef Gabriel Kreuther's Alsatian heritage provides a distinctive mark here, evinced by the stork imagery throughout and by his exciting cuisine espousing regional pride. His elegantly composed sturgeon and sauerkraut tart is a delightful signature creation adorned with American caviar and infused with smoke. Frilly cones of nori-enriched pasta are presented with meaty slices of Alaskan king crab and parsnip purée; while lusciously tender Maine lobster poached in Mangalitsa lardo is dressed with jamón emulsion. Kreuther has brought back the palate cleanser, updated and perfectly executed, to prepare you for the finale which may be titled ""Contemporary"" and reveal pistachio genoise and vanilla cream encased in dark cherry gelée topped with lime-vanilla sorbet.",1,1
480,The Saint Austere,Contemporary,1,"Sometimes all one needs is a fine glass of wine and a little snack (or three). For this, The Saint Austere fits the bill nicely. Platings bring on far-flung influences-as in the bánh Mi(lano), pork terrine, thinly shaved mortadella, and house-pickled vegetables sandwiched into a toasted baguette moistened by a chili-flecked dressing. However, the menu's truest muse is a general coupling of Italian and Spanish flavors, such as pork belly croquetas accompanied by a dipping sauce of crushed chicken livers; or slow-cooked polenta topped with sweet onions caramelized in sausage drippings. The spartanly adorned room offers a hospitable bar in addition to three communal tables. And the wine list proffers a gently priced selection of mostly European labels.",0,0
481,Greenpoint Fish & Lobster Co.,Seafood,2,"Fronted by green awnings, and flooded with light, this corner gem is equal parts sustainably sourced fish market and fantastic eat-in spot. Walk past iced specimens to claim a seat at the white marble counter; then dig into the day's catch dressed-up with global influences. New England clam chowder is given the classic treatment, while grilled sea bass skewers are accompanied by a Thai coconut-and-peanut dipping sauce. Local fluke touched by extra virgin olive oil, a squeeze of Meyer lemon, and Maldon sea salt is an example of the first-rate crudo of the day; while Baja-style fish tacos feature tortillas stuffed with fried pollack, shredded cabbage, and chipotle-lime mayonnaise. For the fish-free, a raw vegan kelp noodle-pad Thai is remarkably satisfying.",0,0
482,Al Seabu,Malaysian,1,"The already impressive Park Slope dining scene gets another notch in its belt with Al Seabu, a little family-run restaurant with a seafood-centric menu and big personality. Decorated in cheerful sea-blue walls and industrial shelves lined with charming seashells, Al Seabu also boasts a friendly staff and fun, contemporary music. The overall effect is one of relaxed charm-and that's before the food knocks your socks off. Don't miss the grilled pulut panggang, little cigars of sticky rice dabbed with coconut and shrimp paste; or fork-tender nyonya beef rendang served with a pile of fluffy white rice and cool slices of cucumber and tomato to cut the heat. Fried mantou, hot sweet buns served with creamy condensed milk for dipping, makes for a dreamy finish.",0,0
483,Osteria Laguna,Italian,2,"A little bit corporate (it is midtown, after all) and a little bit casual (daytrippers from nearby Grand Central), Osteria Laguna has nailed its audience and delivers a perfect blend to suit both worlds. Inside, it's delightfully rustic, complete with the requisite Italian ceramic plates and wooden chairs with rush seating. Crowd-pleasers like pastas, pizzas from the wood-burning oven, antipasti, salads, and nicely done fish, starch, and vegetables comprise the menu at this better-than-average gem. The friendly service can be spotty, but the perfectly crisped wood-fired pizzas are always spot on. The portions are abundant, perhaps even too much given the tiny tables, but the prices aren't, so you can treat your out-of-town friend and keep the change.",0,0
484,Sushi Yasuda,Japanese,4,"Efficiency trumps hospitality at this sushi temple, where warm honey-toned bamboo slats are by far the warmest feature. Reservations are managed with little coddling, arrivals lack any greeting, tardiness is not accepted, and loitering at the counter is not an option. But to sushi-loving diehards, this is just the cost of admission. Tables packed with suits (this is midtown, after all) should be avoided in favor of the sleek counter attended to by a pristinely attired staff as this is where the magic happens. And, your experience here depends entirely on the itamae enlisted in front of you. Their mission is to ensure that each diner receives fish that has just been cut, formed, and dressed moments before it is eaten. After years of buildup, this kitchen is finally living up to its hype-with a wealth of classically assembled and spectacularly fresh sushi on offer. Every item is handled with such care and is truly memorable: a sparkling combo of sea scallop and oyster is sprinkled with soy sauce, sea salt, and lemon; a duo of uni lets the palate compare specimens from Santa Barbara and Hokkaido; and a trio of King, Alaskan white, and wild New Zealand salmon nigiri makes for a fantastic treat.",1,1
485,Aureole,Contemporary,4,"Nestled smack dab in the middle of the melee that constitutes modern-day Times Square, Aureole's message is clear from the moment you enter its serene glass façade: drop your bags (and perhaps your shoulders) and relax-it's time to be pampered by a truly exquisite seafood-centric meal in a luxurious setting. Up front, you'll find the Liberty Room, home to a lively bar that's ideal for an after-work drink or pre-dinner cocktail; and a small collection of handsome, walnut-topped tables comprising a more casual dining area. Toward the back of the restaurant, the formal dining room cuts an impressive, elegant figure with sexy low lighting; crisp white tablecloths; and polished table settings. Dinner might begin with a beautifully composed peekytoe crab salad, sporting vibrant green avocado panna cotta, juicy watermelon and sea beans; and then move on to a gorgeous slice of fresh Alaskan black cod in a sweet and savory marinade, paired with crisp snap peas, bok choy, and choy sum. End with a stunning finale like the elegantly prepared Saint Honoré, a flaky tuille topped with a flower-shaped pinwheel piped with silky Manjari chocolate mousse and dotted with light-as-air choux puffs.",1,1
486,Cooklyn,Contemporary,2,"Work from local artists, a smattering of reclaimed objects, and whitewashed exposed brick walls set a cozy, inviting scene at Cooklyn. The vibe is warm and homey, and a variety of wines-poured by both the glass and quartino-encourage lingering in the clean, uncluttered dining room with its white marble-topped bar, semi-exposed kitchen, and bare wood tables. Slices of fluke, topped with a whisper of yuzu, maple, basil purée, and a sprinkle of sea salt is a delicate start, while the lamb bun is slathered with feta cream and stuffed with tender meat, fresh dill, and pickled onion. Flavors are just as intense in the entrées, from the sea urchin fusilli with lump crabmeat to the seared duck breast over cous cous with a tart fennel-and-pomegranate salad.",0,0
487,Black Swan,American,2,"You can't go wrong at Black Swan, so slide into a dark wooden booth, order a craft beer, and strike up a conversation with the other diners crammed into the deep, long space. As young as this American gastropub is, it feels as comfortable and rustic as a well-worn pair of jeans-just right for settling into a fast-paced match on TV. True to its pub spirit, the food keeps pace with the ample beer list with a crackling, tender, and moist crab cake, fried until golden and topped with a deeply spiced remoulade. Deep bowls of turkey chili are rich and hearty, with loads of ground turkey, cumin, and bits of smoky bacon served with fluffy white rice and cornbread. Sea bass with wild mushroom ragout, cilantro, and grapefruit is effortlessly enjoyable.",0,0
